epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,2974.71,0.75863,0.44696,0.89712,0.84313,0.77555,0.84655,0.64568,1.05759,0.582,1.05468,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,3032.31,0.76591,0.44883,0.89876,0.81515,0.80391,0.85333,0.64623,1.07763,0.58441,1.06696,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,3090,0.75603,0.44081,0.89567,0.86246,0.76721,0.86141,0.65825,1.0662,0.57336,1.06312,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,3146.52,0.7483,0.43993,0.89278,0.81775,0.81238,0.85529,0.65322,1.06089,0.58581,1.06052,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,3203.71,0.74281,0.43269,0.8893,0.86649,0.78561,0.85318,0.64715,1.0552,0.57719,1.05981,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,3260.78,0.74103,0.43785,0.89052,0.84813,0.7826,0.85256,0.64437,1.05544,0.58377,1.0601,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,3316.87,0.7424,0.43424,0.89007,0.90012,0.76144,0.87133,0.65409,1.06179,0.58231,1.06605,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,3372.84,0.73025,0.43026,0.89044,0.89169,0.75607,0.86857,0.65687,1.03991,0.57251,1.05058,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,3428.91,0.7234,0.42596,0.88537,0.87464,0.76075,0.83473,0.64142,1.061,0.57827,1.06345,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,3485.71,0.71924,0.42309,0.8857,0.88602,0.77677,0.87446,0.66096,1.05499,0.58158,1.05941,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,3542.35,0.71837,0.42131,0.88386,0.7822,0.83514,0.86411,0.653,1.04722,0.57474,1.05389,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,3598.18,0.715,0.42058,0.88141,0.89411,0.75941,0.8567,0.65429,1.05699,0.56212,1.06217,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,3653.57,0.70811,0.41963,0.87891,0.83835,0.81056,0.85041,0.65451,1.03733,0.57529,1.05265,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,3709.75,0.70657,0.41712,0.88021,0.85118,0.79447,0.86095,0.65692,1.04039,0.56023,1.05439,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,3766.2,0.69768,0.41373,0.87832,0.88925,0.77295,0.84983,0.64902,1.03389,0.57267,1.05349,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,3821.97,0.70238,0.41378,0.8813,0.82493,0.78932,0.8621,0.65814,1.03947,0.57255,1.05612,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,3877.96,0.69438,0.40969,0.87758,0.8515,0.81609,0.87456,0.67181,1.03362,0.56281,1.05187,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,3933.37,0.69157,0.40868,0.87208,0.80549,0.82287,0.86055,0.65796,1.03064,0.56171,1.05679,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
